PLZ,Ort
54298,Aach
78267,Aach
52062,Aachen
52064,Aachen
52066,Aachen
52068,Aachen
52070,Aachen
52072,Aachen
52074,Aachen
52076,Aachen
52078,Aachen
52080,Aachen
73430,Aalen
73431,Aalen
73432,Aalen
73433,Aalen
73434,Aalen
65326,Aarbergen
25560,Aasbüttel
29416,Abbau Ader
19322,Abbendorf
38871,Abbenrode
06543,Abberode
91183,Abenberg
01623,Abend
93326,Abensberg
55767,Abentheuer
94036,Passau
91720,Absberg
74232,Abstatt
06628,Abtlöbnitz
99713,Abtsbessingen
06888,Abtsdorf
73453,Abtsgmünd
69518,Abtsteinach
97355,Abtswind
55568,Abtweiler
88147,Achberg
83552,Achen
77855,Achern
28832,Achim
38312,Achim
94250,Achslach
88480,Achstetten
56729,Acht
56299,Achterspannerhof
24239,Achterwehr
25917,Achtrup
39343,Ackendorf
16259,Ackermannshof
17213,Adamshoffnung
25842,Addebüll
73099,Adelberg
37139,Adelebsen
29352,Adelheidsdorf
73486,Adelmannsfelden
85111,Adelschlag
01561,Adelsdorf
91325,Adelsdorf
74740,Adelsheim
82276,Adelshofen
91587,Adelshofen
86477,Adelsried
86559,Adelzhausen
53518,Adenau
38528,Adenbüttel
21365,Adendorf
31079,Adenstedt
06408,Aderstedt
38838,Aderstedt
83364,Adligstadt
84166,Adlkofen
18211,Admannshagen-Bargeshagen
08626,Adorf
25572,Aebtissinwisch
31855,Aerzen
71563,Affalterbach
86444,Affing
27257,Affinghausen
54689,Affler
56355,Aftholderbach
21684,Agathenburg
74858,Aglasterhausen
84168,Aham
48683,Ahaus
17375,Ahlbeck
29693,Ahlden
24811,Ahlefeld
59227,Ahlen
59229,Ahlen
21702,Ahlerstedt
04916,Ahlsdorf
06313,Ahlsdorf
98553,Ahlstädt
38489,Ahlum
34292,Ahnatal
24996,Ahneby
29353,Ahnsbeck
31708,Ahnsen
94345,Aholfing
94527,Aholming
74744,Ahorn
96482,Ahorn
95491,Ahorntal
83739,Ahrain
53506,Ahrbrück
23623,Ahrensbök
22926,Ahrensburg
14974,Ahrensdorf
15864,Ahrensdorf
16356,Ahrensfelde
18320,Ahrenshagen
25853,Ahrenshöft
24787,Ahrenstedt
25885,Ahrenviöl
94529,Aicha
86551,Aichach
83565,Aichat
83329,Aichberg
73101,Aichelberg
86479,Aichen
78733,Aichhalden
88317,Aichstetten
72631,Aichtal
73773,Aichwald
94501,Aidenbach
97491,Aidhausen
71134,Aidlingen
84089,Aiglsbach
56459,Ailertchen
86447,Aindling
83404,Ainring
89344,Aislingen
94330,Aiterhofen
79677,Aitern
88319,Aitrach
87648,Aitrang
09326,Aitzendorf
06385,Aken
99100,Alach
83544,Albaching
79774,Albbruck
93449,Albernhof
07646,Albersdorf
25767,Albersdorf
73095,Albershausen
06268,Albersroda
06279,Alberstedt
76857,Albersweiler
57614,Alberthofen
16818,Albertinenhof
19260,Albertinenhof
97320,Albertshofen
66871,Albessen
55234,Albig
67308,Albisheim
98529,Albrechts
72458,Albstadt
72459,Albstadt
72461,Albstadt
52457,Aldenhoven
78554,Aldingen
86733,Alerheim
91793,Alesheim
86480,Aletshausen
56859,Alf
73553,Alfdorf
31061,Alfeld
91236,Alfeld
49594,Alfhausen
56828,Alflen
27432,Alfstedt
53347,Alfter
39638,Algenstedt
31191,Algermissen
86926,Algertshausen
38551,Algesbüttel
36211,Alheim
39398,Alikendorf
56332,Alken
99310,Alkersleben
25938,Alkersum
55758,Allenbach
07426,Allendorf
35108,Allendorf
35469,Allendorf
56370,Allendorf
55595,Allenfeld
78476,Allensbach
90584,Allersberg
98701,Allersdorf
85391,Allershausen
88422,Alleshausen
82239,Alling
86695,Allmannshofen
89604,Allmendingen
71573,Allmersbach
01983,Allmosen
06507,Allrode
06542,Allstedt
25821,Almdorf
46519,Alpen
57642,Alpenrod
99195,Alperstedt
